canonical_concept,concept_name,preference_rank,collapse_rule
revenue,Revenues,1,value_desc
revenue,RevenueFromContractWithCustomerExcludingAssessedTax,2,value_desc
revenue,RevenueFromContractWithCustomerIncludingAssessedTax,3,value_desc
revenue,SalesRevenueNet,4,value_desc
revenue,InterestAndDividendIncomeOperating,5,value_desc
net_income,NetIncomeLoss,1,value_desc
operating_income,OperatingIncomeLoss,1,value_desc
gross_profit,GrossProfit,1,value_desc
cost_of_revenue,CostOfRevenue,1,value_desc
cost_of_revenue,CostOfGoodsAndServicesSold,2,value_desc
cost_of_revenue,CostOfGoodsSold,3,value_desc
cost_of_revenue,CostOfServices,4,value_desc
assets,Assets,1,value_desc
liabilities,Liabilities,1,value_desc
liabilities_and_se,LiabilitiesAndStockholdersEquity,1,value_desc
stockholders_equity,StockholdersEquity,1,value_desc
stockholders_equity_including_nci,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1,value_desc
minority_interest,MinorityInterest,1,value_desc
cash_and_equivalents,CashAndCashEquivalentsAtCarryingValue,1,preference_rank_asc
cash_and_equivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2,preference_rank_asc
operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,1,value_desc
