concept_name,canonical_concept,business_area
Revenues,revenue,income_statement
SalesRevenueNet,revenue,income_statement
RevenueFromContractWithCustomerExcludingAssessedTax,revenue,income_statement
RevenueFromContractWithCustomerIncludingAssessedTax,revenue,income_statement
InterestAndDividendIncomeOperating,revenue,income_statement
NetIncomeLoss,net_income,income_statement
OperatingIncomeLoss,operating_income,income_statement
GrossProfit,gross_profit,income_statement
CostOfRevenue,cost_of_revenue,income_statement
CostOfGoodsAndServicesSold,cost_of_revenue,income_statement
CostOfGoodsSold,cost_of_revenue,income_statement
CostOfServices,cost_of_revenue,income_statement
Assets,assets,balance_sheet
Liabilities,liabilities,balance_sheet
LiabilitiesAndStockholdersEquity,liabilities_and_se,balance_sheet
StockholdersEquity,stockholders_equity,balance_sheet
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,stockholders_equity_including_nci,balance_sheet
MinorityInterest,minority_interest,balance_sheet
CashAndCashEquivalentsAtCarryingValue,cash_and_equivalents,balance_sheet
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,cash_and_equivalents,balance_sheet
NetCashProvidedByUsedInOperatingActivities,operating_cash_flow,cash_flow
